6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6869.96000000,2017-11-15T02:29:31.871000Z
6886.25000000,2017-11-15T02:40:58.445000Z
6886.25000000,2017-11-15T02:41:05.923000Z
6886.25000000,2017-11-15T02:41:17.852000Z
6886.25000000,2017-11-15T02:41:30.354000Z
6886.80000000,2017-11-15T02:41:36.924000Z
6887.75000000,2017-11-15T02:41:46.756000Z
6889.00000000,2017-11-15T02:41:58.325000Z
6889.00000000,2017-11-15T02:42:06.857000Z
6889.00000000,2017-11-15T02:42:19.432000Z
6889.00000000,2017-11-15T02:42:29.525000Z
6889.00000000,2017-11-15T02:42:38.475000Z
